Station city,Station country,Year,Temperature mean,Temperature dev.,Temperature mean max.,Temperature mean min.,Temperature absolute max.,Temperature absolute min.,Precipitation total (mm),Precipitation %,Precipitation no. of days >=1mm,Vapor pressure (hPa),Air pressure at sea level (NN),Sunshine dur. (h),Sunshine dur. (%)
Berlin-Tegel,DEU,2005,10.1,0.8,14,5.9,32.9,-14,625,113,105,9.8,1016.4,1821,112
Essen,DEU,2005,10.3,0.8,14,6.8,31.4,-9.9,1024,110,143,10.3,1017.4,1628,112
Dresden,DEU,2005,9.3,0.4,13.2,5.3,33.5,-12,624,90,112,9.6,1017.4,1911,121
Frankfurt/Main,DEU,2005,11,1.3,15.5,6.5,34,-12,525,80,99,10.3,1018.1,1770,112
Stuttgart,DEU,2005,9.4,0.8,14.1,4.7,33.7,-18.6,725,101,120,9.5,1018.4,1827,108
München (Stadt),DEU,2005,9.2,0,13.5,5.2,33.5,-16,1017,103,140,9.4,1018.5,1905,113
Zugspitze,DEU,2005,-5,-0.2,-2.2,-7.4,16.3,-29.4,2244,112,171,3.7,,1911,103
Wien,AUT,2005,10.2,0.5,14.3,6.8,,,604,100,101,9.8,1017.5,2106,110
Innsbruck,AUT,2005,8.3,0.1,14.4,3.8,,,796,87,106,9.2,1018.7,2049,107
Sonnblick,AUT,2005,-5.7,0.1,-3.6,-7.3,,,1860,115,194,3.8,,1779,107
Prag,CZE,2005,8.4,0.6,12.9,4.1,34.9,-15.1,477,91,90,9.1,1018,1913,115
Brünn,CZE,2005,8.8,0.1,13.1,4.6,33,-14.8,573,117,84,9.1,1018,1978,117
Sliac,SVK,2005,7.8,-0.2,14.1,2.3,34.5,-25,751,110,95,8.7,1017.9,2029,122
Poprad,SVK,2005,5.9,0,11.5,0.7,32.1,-24.5,662,114,91,8.2,,2113,117
Elbing,POL,2005,8.4,0.8,12.4,4.7,,,564,82,114,9.3,1016.1,1770,115
Warschau,POL,2005,8.6,0.8,13.1,4.2,,,491,95,91,8.7,1016.8,2460,107
Breslau,POL,2005,9,0.7,13.9,4.2,,,544,92,90,9,1017.3,1991,133
Budapest,HUN,2005,10.6,0.2,15.3,6.5,,,754,146,85,9.7,1017.8,2210,113
Debrecen,HUN,2005,9.8,-0.1,14.8,5.2,,,642,114,85,10,1017.3,,
Pecs,HUN,2005,10.2,-0.2,14.5,6.3,,,690,111,99,10,1018,2010,96
Belgrad,SRB,2005,11.8,-0.1,16.2,8,35.9,-14.7,810,118,106,,,2036,101
Podgorica,MNE,2005,15.6,0.3,,,,,1928,116,103,,,,
Ljubljana,SVN,2005,10.4,0.6,15,6.3,35,-14.1,1402,101,116,10.3,1018.1,1895,111
Zagreb,HRV,2005,11.5,0.2,15.8,8.1,33.7,-12.5,988,112,110,10.4,1017.5,1948,108
Split,HRV,2005,15.9,0.1,19.2,12.8,35.7,-5.5,1027,125,92,11.1,1015.4,2766,107
Mostar,BIH,2005,14.7,0.2,19.5,10.1,40.1,-5.7,1587,111,107,10.4,1016.3,2367,103
Sarajevo,BIH,2005,9.1,-0.4,14.6,4.7,34.9,-16.8,1153,126,138,9,1018.2,1829,102
Cluj,ROU,2005,8.4,0.2,14,4,33.6,-19.6,788,144,110,9.3,1017.5,2107,105
Timisoara,ROU,2005,10.4,-0.2,16.2,5.9,36.6,-21.6,790,133,95,10.2,1016.6,2140,101
Sibiu,ROU,2005,8.3,-0.2,14.3,3.2,32.5,-26.4,863,138,106,9.2,1017.5,1850,101
Sulina,ROU,2005,12.2,0.8,14.9,9.6,31.5,-11.5,284,101,49,13.3,1016.1,2373,112
Bukarest,ROU,2005,10.1,-0.5,16.5,4.9,36.3,-23.2,1077,181,97,10.4,1016.5,2138,101
Constanta,ROU,2005,12.2,0.7,15.6,9.1,31.4,-14.4,649,164,75,12.9,1017.3,2139,94
Varna,BGR,2005,12.5,0.5,17.2,9,,,622,130,96,,,2274,115
Sofia,BGR,2005,9.8,0.1,15.2,5.6,,,965,171,94,9.9,1017.1,2119,105
Triest,ITA,2005,14.3,0.2,,,,,877,84,86,,,,
Pisa,ITA,2005,14.2,0.1,19.3,9.4,39,-6,649,72,72,12.1,1016.5,2265,100
Termoli,ITA,2005,16.6,,,,,,432,112,82,,1015.6,2298,103
Grazzanise,ITA,2005,15,-0.1,20.6,9.8,36,-4,1154,128,93,,,2466,104
Messina,ITA,2005,18.9,0.6,22.5,15.8,39.4,3.4,928,112,94,17.8,1015.8,2541,102
Trapani/Birgi,ITA,2005,17.6,-0.1,21.7,13.2,38,1.6,563,126,87,15.9,1016.4,2612,98
Luqa,MLT,2005,18.7,0.1,22.1,15.3,36.4,3.9,506,92,52,15.5,1016.6,2918,99
Kerkyra,GRC,2005,17.4,0,21.1,12.5,,,875,80,80,14,1014.9,2452,96
Larissa,GRC,2005,16,0.4,21.2,9.4,,,387,88,59,11.6,1015.9,2473,102
Athen (Observat.),GRC,2005,18.4,0.8,23.3,14.8,,,450,119,47,13.2,1016.3,2862,101
Heraklion/Kreta,GRC,2005,18.9,0.5,22.1,15.1,,,421,84,51,14.1,1015.1,2902,107
Murmansk,RUS,2005,2,2.1,5.3,-0.9,,,499,104,121,6.2,1010.1,1477,112
Kanin Nos,RUS,2005,0.8,1.9,3.4,,,,461,107,133,6.5,1010.3,903,81
Archangelsk,RUS,2005,2.8,2,7,-1.2,,,536,98,110,7.1,1013.3,1930,118
Tallinn,EST,2005,6.3,1.2,9.9,2.6,29.4,-20.5,596,89,99,,,,
St. Petersburg,RUS,2005,6.4,1.4,9.7,3.4,29.8,-17.6,651,105,116,8.5,1014.4,1758,108
Klajpeda,LTU,2005,7.9,0.9,11.1,4.8,,,752,102,109,9.5,1015.4,2200,122
Daugavpils,LVA,2005,5.9,0.4,10.2,1.5,,,702,111,114,8.5,1016,1842,110
Vilnius,LTU,2005,6.8,0.7,10.9,2.9,31.5,-23.9,783,115,111,8.3,1016.1,1935,122
Minsk,BLR,2005,6.8,0.9,10.6,3.3,30.6,-21.2,735,109,109,8.5,1016.5,1830,104
Kasan,RUS,2005,5.4,1.6,9.4,1.6,,,508,93,100,8.2,1019,2027,105
Moskau,RUS,2005,6.2,1.2,10.2,2.4,31.5,-21.5,683,99,121,8.9,1017.2,,
Gomel,BLR,2005,7.7,1.2,11.9,3.8,33.6,-24.5,597,102,94,9,1017.4,2101,115
Kiew,UKR,2005,8.7,1,12.9,5.1,34.7,-18.5,720,111,103,9.1,1017.6,,
Odessa,UKR,2005,11.3,1.2,15,8,32.6,-12.7,463,100,68,11.1,1017,2296,105
Kharkiv(Charkow),UKR,2005,8.7,1.2,13,4.5,33,-19,590,114,88,8.9,1017.9,2011,112
Rostow am Don,RUS,2005,10.5,0.8,,,,,,,,,,,
Jan Mayen,NOR,2004,0.8,2.2,2.8,-0.9,,,666,96,141,5.9,1007.2,,
Svalbard/Spitzb.,NOR,2004,-4.4,2.1,-1.4,-6.9,,,182,100,49,4.1,1009.6,,
Tromsoe,NOR,2004,4.1,1.3,6.8,1.3,,,1112,114,165,6.8,1006.8,,
Bodoe,NOR,2004,5.7,1.2,8.2,3.2,,,1035,102,163,7.1,1007.2,1500,118
Bergen,NOR,2004,8.6,0.8,11.7,5.9,,,2592,132,212,9.1,1010.1,,
Oslo,NOR,2004,7.1,1.3,11.1,3.6,,,757,98,117,7.6,1010.5,1666,100
Östersund,SWE,2004,4,1.5,7.7,0.8,27.1,-28.2,400,76,84,7.3,1009.9,1677,109
Stockholm,SWE,2004,7.6,1,10.8,4.8,30.6,-13,527,98,107,8.8,1011.2,1809,99
Jönköping,SWE,2004,6,0.7,10.2,1.7,27.4,-23.4,940,124,145,8.4,1012,,
Visby,SWE,2004,7.6,0.6,10.7,4.5,28.4,-11.4,433,83,95,8.6,1011.8,2030,108
Sodankylä,FIN,2004,0.4,1.4,4.8,-4.1,26.3,-34.6,597,119,122,6.1,1009.3,1421,91
Kajaani,FIN,2004,2.4,1,6.3,-1.8,25.6,-31.3,717,133,140,7,1010.5,,
Jyväskylä,FIN,2004,3.6,0.9,7.8,-0.8,27.3,-26.6,683,107,127,7.3,1010.5,1534,96
Helsinki,FIN,2004,5.4,0.9,9.2,1.7,28.8,-22.3,842,129,129,8.2,1011.4,1792,100
Lerwick,GBR,2004,8.1,1.1,9.8,6.3,21.2,-5.3,1323,109,224,9.5,1009.1,1160,112
Aberdeen,GBR,2004,9.2,1.3,12.2,6.1,26.1,-10.3,778,99,150,9.4,1011.2,1457,108
Waddington,GBR,2004,10.7,1.4,13.9,7.4,29.7,-4,725,121,125,10.4,1014.5,1596,104
London,GBR,2004,11.9,1.4,15.4,8.4,30.5,-4.8,621,104,125,10.7,1015.7,1638,108
Camborne,GBR,2004,11.3,0.9,13.5,8.9,26,-1.8,1047,97,149,11.4,1016.9,1690,103
Valentia,IRL,2004,11.1,0.6,13.7,8.5,,,1403,99,195,,1015.8,,
Dublin,IRL,2004,9.9,0.4,,,,,704,96,131,,,,
Belmullet,IRL,2004,10.8,1.1,13.6,7.9,,,1131,99,203,11.3,1013.7,1417,111
Reykjavik,ISL,2004,5.6,1.3,8.5,3,,,936,117,165,7.5,1005.4,1435,113
Akureyri,ISL,2004,4.8,1.6,8.7,1.8,,,533,109,111,7.1,1006.6,1049,100
Egedesminde,GRL,2004,-2.7,2.1,,,,,354,129,94,4.5,1009.4,,
Nuuk,GRL,2004,-0.4,1.1,,,,,,,,,,,
Danmarkshavn,GRL,2004,-10.7,1.6,,,,,180,136,48,2.4,1013.6,,
Angmagssalik,GRL,2004,0.1,1.8,,,,,829,89,108,5.3,1007.7,,
P. Christian Sund,GRL,2004,2.2,1.6,,,,,,,,5.3,1006.4,,
Thorshavn/Färöer,DNK,2004,7.3,0.9,,,,,1503,103,201,8.9,1007.7,,
Kopenhagen,DNK,2004,9.3,0.6,,,,,598,94,108,9.5,1013.3,,
De Bilt,NLD,2004,10.3,1,14.5,5.9,32.5,-7.8,858,107,128,10.7,1015.4,1625,110
Luxemburg,LUX,2004,9.3,1,13.1,5.7,31,-8.7,733,84,137,9.4,1017.6,1732,106
Säntis,CHE,2004,-1.3,0.7,,,,,2433,90,164,4.7,,1659,99
Genf,CHE,2004,11.2,1.5,,,,,991,104,101,9.8,1018.1,2004,118
Brest,FRA,2004,11.4,0.4,14.9,8.1,31.4,-3.5,1122,101,150,11.6,1017.7,1465,84
Paris,FRA,2004,11.7,0.8,16,7.7,34.2,-6.2,540,87,100,10.7,1017.3,,
Strassburg,FRA,2004,10.9,0.8,15.5,6.8,33.2,-11,615,100,111,10.4,1017.5,1678,102
Bordeaux,FRA,2004,13.4,0.7,18.3,9.3,35.1,-3.6,695,75,113,12.1,1018.4,2101,101
Toulouse,FRA,2004,13.5,0.5,18.2,9.3,37.8,-4.4,767,117,103,11.9,1018.3,2006,98
Marseille,FRA,2004,15.2,0.4,20.2,10.8,33.8,-4,314,58,44,11.4,1015.9,2915,103
Ajaccio,FRA,2004,15.5,0.7,20.6,10.7,37.3,-1.4,660,102,79,13.3,1015.6,2572,94
La Coruna,ESP,2004,15,0.9,18,12,28,1.6,673,68,113,13.1,1018.6,,
Valladolid,ESP,2004,12.6,0.6,18.3,6.8,36.7,-5.6,324,73,56,9.5,1017.3,2707,106
Barcelona,ESP,2004,17,1.6,21,13,34,-0.2,499,76,60,15,1017.3,2622,107
Madrid,ESP,2004,15.1,1,20.7,9.4,39.2,-4.4,451,98,52,10.2,1017.6,2899,104
Palma de Mallorca,ESP,2004,16.8,1,22.6,11,38.2,-3,407,96,60,15.8,1017.1,,
Alicante,ESP,2004,18.6,0.7,23.3,13.8,36,0,264,74,38,15.6,1017.1,2749,95
Cadiz,ESP,2004,18.7,0.5,21.8,15.5,38,3.2,382,63,37,15.7,1018,3154,105
Almeria,ESP,2004,19.3,0.8,23.5,15,38.2,3.2,204,100,21,14.9,1016.6,2911,99
Gibraltar,GBR,2004,18.2,0,21.1,15.4,,,560,72,56,,1017.8,2733,102
Lajes/Azoren,PRT,2004,17.9,1,,,,,910,72,124,,,,
Santa Maria/Azoren,PRT,2004,18.2,0.7,,,,,854,110,93,,,,
Funchal / Madeira,PRT,2004,19.9,0.9,23.8,17.3,,,465,78,42,15,1019.7,2342,108
Lissabon,PRT,2004,17.2,0.4,21.5,13.6,,,518,69,59,14.4,1018,3016,108
Helgoland,DEU,2004,10.1,1,11.8,8.4,25.1,-2.8,816,114,138,10.7,1014.1,1768,105
Hamburg-Fuhlsb.,DEU,2004,9.5,0.8,13.3,5.6,30.3,-8.1,815,106,139,9.9,1014.4,1560,100
Greifswald,DEU,2004,8.9,0.8,12.3,5.5,26.6,-9.9,653,116,118,10,1014.1,1626,94
Berlin-Tegel,DEU,2004,10,0.7,13.9,5.8,31.5,-10.6,527,95,104,9.5,1015,1586,98
Essen,DEU,2004,9.9,0.3,13.5,6.4,32,-6,1075,115,153,10.1,1016.1,1477,102
Dresden,DEU,2004,9.3,0.4,13.1,5.4,31.3,-15.1,620,89,123,9.4,1016.3,1597,101
Frankfurt/Main,DEU,2004,10.7,1,15,6.2,33.6,-7.6,555,84,98,10.1,1017.1,1630,103
Stuttgart,DEU,2004,9.5,0.9,14,4.9,31.3,-11.8,686,96,117,9,1017.5,1782,106
München (Stadt),DEU,2004,9.5,0.3,13.7,5.7,31.5,-11.5,815,83,130,9.1,1017.5,1789,106
Zugspitze,DEU,2004,-4.5,0.3,-1.6,-7,13.6,-23.1,2093,105,183,3.9,,1793,97
Wien,AUT,2004,10.4,0.7,14.5,7.2,,,668,110,104,10.3,1016.8,1930,101
Innsbruck,AUT,2004,8.7,0.5,14.6,4.4,,,790,86,130,9.3,1017.7,1913,100
Sonnblick,AUT,2004,-5.2,0.5,-3.2,-6.8,,,1986,123,207,3.8,,1769,106
Prag,CZE,2004,8.5,0.6,13,4.1,31.6,-21.2,473,90,91,8.9,1017,1801,108
Brünn,CZE,2004,9.3,0.6,13.6,5.1,32.5,-15.1,453,93,78,9.6,1017.2,1761,104
Sliac,SVK,2004,8.3,0.3,14.1,3.3,32.3,-24.7,703,103,102,9.2,1017.1,1777,107
Poprad,SVK,2004,6.2,0.4,11.5,1.5,29.5,-21,716,124,108,8.3,,1867,104
Elbing,POL,2004,8.1,0.5,11.8,4.8,,,849,123,136,9.4,1014.5,1413,92
Warschau,POL,2004,8.4,0.6,12.6,4.4,,,523,101,100,9,1015.6,2165,94
Breslau,POL,2004,9.3,1,14,4.6,,,449,76,90,9.5,1016.3,1744,117
Budapest,HUN,2004,10.8,0.4,15.5,6.8,,,590,114,87,9.5,1016.9,1977,101
Debrecen,HUN,2004,10.3,0.4,15,5.9,,,693,123,90,10,1016.5,2151,109
Pecs,HUN,2004,10.7,0.3,15.1,6.8,,,824,133,106,10.4,1017.6,1853,88
Belgrad,SRB,2004,12.4,0.6,16.9,8.6,38.5,-9.9,829,121,111,,,1980,98
Ljubljana,SVN,2004,10.7,0.9,15.2,6.5,34.3,-11.2,1697,122,117,10.5,1017.6,1780,104
Zagreb,HRV,2004,11.9,0.6,16.2,8.5,34.7,-8.4,992,113,104,10.9,1017,1840,102
Split,HRV,2004,16.5,0.6,19.7,13.5,35.9,-4.1,993,120,94,11.6,1015.1,2612,101
Mostar,BIH,2004,15.1,0.6,20.3,10.7,38.6,-4.8,1715,120,113,11.5,1016,2311,101
Sarajevo,BIH,2004,10.1,0.7,15.6,5.6,35.6,-13,1017,111,108,9.3,1017.6,1774,99
Cluj,ROU,2004,8.9,0.7,14.2,4.6,34.2,-17.5,647,118,97,8.9,1017,2028,101
Timisoara,ROU,2004,11.1,0.5,,,,,707,119,98,9.9,,2090,98
Sibiu,ROU,2004,9,0.5,14.8,3.8,34.3,-22.6,693,111,108,9.1,1016.9,1795,98
Sulina,ROU,2004,12,0.6,14.7,9.8,30.2,-11.6,241,86,49,13,1015.9,2353,112
Bukarest,ROU,2004,10.3,-0.3,17.2,4.8,35.3,-20.7,715,120,82,10.2,1015.9,2070,98
Constanta,ROU,2004,12.4,0.9,16.1,9.3,31.6,-12.4,671,169,64,12.7,1017.6,2318,102
Varna,BGR,2004,12.7,0.7,17.8,8.9,,,657,137,78,,,2350,118
Sofia,BGR,2004,10.6,0.9,16.2,5.7,,,519,92,89,9.7,1016.9,2270,112
Triest,ITA,2004,14.7,0.6,,,,,1067,102,94,11.7,,2107,100
Pisa,ITA,2004,14.8,0.8,19.5,10.3,34,-4,900,100,87,13.2,1015.8,2199,97
Termoli,ITA,2004,17.1,,20.2,14.3,38,2.2,397,103,74,,,2348,106
Grazzanise,ITA,2004,15.7,0.6,,,,,1030,115,99,,,2442,103
Messina,ITA,2004,19,0.7,22.6,16,37,3.6,816,98,84,17.8,1015.6,2544,102
Trapani/Birgi,ITA,2004,18,0.3,22.2,13.6,37.8,1.4,710,158,79,16.8,1016.1,2620,98
Luqa,MLT,2004,18.9,0.3,22.4,15.4,,,464,84,58,15.4,1016.4,2969,101
Kerkyra,GRC,2004,17.9,0.5,21.5,13,,,946,87,83,14.8,1014.9,2320,91
Larissa,GRC,2004,15.9,0.4,21.3,9.2,,,455,103,59,11.9,1016,2433,100
Athen (Observat.),GRC,2004,18.7,1,23.5,15.1,,,417,111,34,14,1016.3,2837,100
Heraklion/Kreta,GRC,2004,19.1,0.6,22.2,15.2,,,557,111,55,14.6,1015,2849,105
Murmansk,RUS,2004,1.7,1.8,4.8,-1.3,,,562,118,118,6.2,1009,1502,114
Kanin Nos,RUS,2004,0.5,1.6,2.8,-1.5,,,455,106,117,6,1009.2,1026,92
Archangelsk,RUS,2004,2,1.2,6,-2,,,566,104,131,6.8,1011.5,1768,108
Tallinn,EST,2004,6.1,1,,,,,870,130,133,,,,
St. Petersburg,RUS,2004,6,1.1,9.3,2.3,28.3,-21.3,700,113,133,8.4,1012.3,1567,96
Klajpeda,LTU,2004,7.9,0.8,11,4.9,,,661,90,124,8.9,1013.5,1907,105
Daugavpils,LVA,2004,6,0.5,,,,,677,107,140,,,,
Vilnius,LTU,2004,6.5,0.5,10.7,2.9,29.3,-22.6,721,106,137,8.4,1014.5,1709,108
Minsk,BLR,2004,6.6,0.8,10.4,3.2,29.5,-21.5,828,122,126,8.4,1014.8,1801,102
Kasan,RUS,2004,5.4,1.6,9.2,2.2,,,579,106,109,8.2,1016,1750,91
Moskau,RUS,2004,5.8,0.9,9.6,2.4,29.9,-22,864,126,133,8.8,1014.6,,
Gomel,BLR,2004,7.6,1.1,11.6,3.7,31.8,-22,602,102,112,8.8,1015.8,1903,104
Kiew,UKR,2004,8.7,1,12.7,5.1,31.6,-15.3,615,95,102,9.1,1016.4,,
Odessa,UKR,2004,11,0.9,14.5,8,30.8,-12.6,596,128,77,11.2,1016.4,2241,103
Kharkiv(Charkow),UKR,2004,8.5,1,12.4,4.7,31,-20.3,599,115,108,9.4,1016.3,1672,93
Rostow am Don,RUS,2004,10.1,0.5,,,,,946,163,108,,,,
Jan Mayen,NOR,2003,0.3,1.7,2.3,-1.5,,,671,97,116,5.8,1009.5,,
Svalbard/Spitzb.,NOR,2003,-6.1,0.3,-3.5,-8.6,,,168,92,47,3.8,1009.6,,
Tromsoe,NOR,2003,4,1.2,6.6,1.2,,,1286,132,156,6.8,1009,,
Bodoe,NOR,2003,5.5,0.9,8.1,2.9,,,1216,119,164,7.4,1010.1,,
Bergen,NOR,2003,8.7,1,12.1,6,,,2618,134,203,9.3,1013.3,,
Oslo,NOR,2003,6.9,1.2,10.9,3.5,,,726,94,100,7.9,1013.8,,
Östersund,SWE,2003,4,1.4,7.9,0.4,30.5,-29,412,78,89,7.3,1012.9,1635,106
Stockholm,SWE,2003,7.7,1.1,11.1,4.7,30.8,-19.3,452,84,84,8.9,1013.9,,
Jönköping,SWE,2003,5.9,0.5,10.5,1.3,28.7,-25.4,707,93,113,8.5,1015,,
Visby,SWE,2003,7.6,0.6,10.7,4.4,29.4,-17.4,467,90,87,9.2,1014.8,1903,101
Sodankylä,FIN,2003,0.4,1.4,5,-4.5,30.3,-39.1,479,96,103,6,1010.9,1591,102
Kajaani,FIN,2003,2.3,0.9,6.4,-2.2,29.6,-39,552,102,112,7,1012.4,,
Jyväskylä,FIN,2003,3.5,0.9,7.7,-0.9,29.6,-36.2,634,99,110,7.5,1012.8,1539,97
Helsinki,FIN,2003,5.2,0.7,9.1,1.4,30.7,-31.3,506,78,97,8.1,1013.6,1799,101
Lerwick,GBR,2003,8.5,1.5,10.4,6.5,21.9,-4,1132,93,178,9.7,1011.6,1193,115
Aberdeen,GBR,2003,9.3,1.4,12.7,5.8,23.9,-8.7,555,71,114,9.3,1013.3,1715,127
Waddington,GBR,2003,10.6,1.4,14.3,6.8,31.7,-5.3,514,86,96,10,1016.2,1636,106
London,GBR,2003,12.2,1.6,16.2,8.1,37.9,-5.1,476,80,98,10.2,1016.9,2003,132
Camborne,GBR,2003,11.3,1,13.8,8.8,27.5,-1.6,912,84,146,11.5,1016.7,1601,98
Valentia,IRL,2003,11.3,0.8,14.1,8.4,26,-3.5,1507,106,191,11.2,1015,1440,116
Dublin,IRL,2003,9.9,0.3,13.8,5.9,25.7,-5.2,654,90,109,10.3,1015.2,1615,112
Belmullet,IRL,2003,10.8,1.1,13.8,7.8,27.7,-2.5,1076,95,191,11.2,1013.5,1438,113
Reykjavik,ISL,2003,6.1,1.7,8.8,3.6,,,980,123,180,7.8,1005.6,1263,100
Akureyri,ISL,2003,5.1,1.9,8.7,2.3,,,528,108,104,7.2,1007.1,1024,98
Egedesminde,GRL,2003,-1.8,3.1,,,,,452,165,88,4.6,1007.1,,
Nuuk,GRL,2003,0.6,2,,,,,,,,,,,
Danmarkshavn,GRL,2003,-11,1.2,,,,,104,79,28,2.5,1013.7,,
Angmagssalik,GRL,2003,1.3,2.9,,,,,815,87,115,5.4,1007.3,,
P. Christian Sund,GRL,2003,2.1,1.5,,,,,,,,5.6,1003,,
Thorshavn/Färöer,DNK,2003,7.7,1.3,,,,,1237,84,192,9.1,1009.4,,
Kopenhagen,DNK,2003,9.1,0.4,,,,,432,68,76,10,1016.2,,
De Bilt,NLD,2003,10.3,1,15.2,5.1,35,-10.6,614,76,105,10.4,1017.2,2023,137
Brüssel,BEL,2003,11.1,1.2,15.1,7,33.8,-8.6,671,84,109,10.7,1017.5,1987,133
Luxemburg,LUX,2003,10.3,2,14.8,6.1,37.9,-12.8,656,75,95,9.3,1018.5,2281,140
Säntis,CHE,2003,-0.1,1.9,,,,,2220,82,141,4.7,,2181,130
Genf,CHE,2003,11.8,2.1,,,,,736,77,87,9.8,1018.9,2237,132
Brest,FRA,2003,11.8,0.9,15.8,8.3,35.1,-5.1,988,89,146,11.8,1017.2,1753,100
Paris,FRA,2003,12.4,1.5,17.1,8,40,-8.5,467,76,92,10.9,1017.7,,
Strassburg,FRA,2003,11.5,1.4,16.9,6.6,38.5,-10.8,475,78,87,10.4,1018.2,2198,134
Bordeaux,FRA,2003,14.5,1.7,19.7,10,40.7,-8,735,80,114,12.7,1017.7,2189,105
Toulouse,FRA,2003,14.8,1.9,19.9,10.2,40.7,-6.5,479,73,92,12.2,1017.8,2270,111
Marseille,FRA,2003,16.1,1.3,21.2,11.5,37.7,-6.6,535,98,51,12,1016.4,2901,102
Ajaccio,FRA,2003,16.2,1.3,21.5,10.9,38.9,-3.6,549,85,60,14,1016,2977,109
La Coruna,ESP,2003,15.3,1.2,18.4,12.1,34.2,0.6,1184,119,132,13.5,1017.3,2031,103
Valladolid,ESP,2003,13.3,1.3,19,7.6,38,-7,637,144,75,9.8,,2598,102
Barcelona,ESP,2003,17.5,2.1,21.7,13.2,37.3,-1.1,626,95,55,15.4,1017.4,2612,106
Madrid,ESP,2003,15.7,1.7,21.5,9.9,40.6,-5.2,524,113,65,10.1,1017,2841,102
Palma de Mallorca,ESP,2003,17.5,1.7,23.3,11.7,39.9,-3,438,103,57,16.7,1017.1,2859,106
Alicante,ESP,2003,18.9,1.1,,,,,237,67,35,,,,
Cadiz,ESP,2003,18.9,0.7,21.9,15.8,37.5,3,795,131,60,16,1017.7,3048,101
Almeria,ESP,2003,19.5,1,23.7,15.2,38.8,4.6,202,99,27,14.7,1016.2,2901,99
Gibraltar,GBR,2003,18.6,0.4,21.6,15.7,,,949,122,69,,1017.6,2765,103
Lajes/Azoren,PRT,2003,17.5,0.6,20.6,15.1,,,899,71,136,16.1,1021.2,,
Santa Maria/Azoren,PRT,2003,18,0.5,,,,,788,102,90,,,,
Funchal / Madeira,PRT,2003,19.8,0.7,23.5,17.2,,,600,101,50,15.6,1019.8,2367,109
Lissabon,PRT,2003,17.3,0.5,21.4,14,,,874,116,75,15.1,1017.3,2756,99
Helgoland,DEU,2003,10,0.9,11.9,8.3,28,-4.9,543,76,112,10.7,1016.7,2050,122
Hamburg-Fuhlsb.,DEU,2003,9.5,0.9,14.1,4.8,34.4,-16.1,565,73,106,9.7,1017,1934,124
Greifswald,DEU,2003,9,0.9,12.8,5,31.9,-17.3,495,88,89,10,1016.9,1969,113
Berlin-Tegel,DEU,2003,10.3,1,14.7,5.6,34.7,-17.4,398,72,83,9.3,1017.3,2004,123
Essen,DEU,2003,10.7,1.1,14.7,6.7,36.6,-11.6,783,84,112,9.8,1017.6,2036,140
Dresden,DEU,2003,9.7,0.8,14,5.2,36,-18.8,428,62,84,9,1018.2,2104,133
Frankfurt/Main,DEU,2003,11.3,1.7,16.5,6.2,38.7,-12.3,372,57,78,9.7,1018.3,2128,134
Stuttgart,DEU,2003,10.2,1.6,15.6,4.8,37.7,-13.2,461,64,86,8.9,1018.4,2238,133
München (Stadt),DEU,2003,10.2,1,15.1,5.7,37,-13.1,656,67,102,8.8,1018.5,2164,128
Zugspitze,DEU,2003,-3.5,1.3,-0.5,-6.1,16.3,-25.9,1880,94,147,4,,2177,117
Wien,AUT,2003,11,1.2,15.7,7.2,,,446,74,78,10.5,1018.2,2306,120
Innsbruck,AUT,2003,9.3,1.1,16.1,4.3,,,821,90,111,9.7,1018.7,2309,120
Sonnblick,AUT,2003,-4.6,1.2,-2.5,-6.4,,,1744,108,177,4,,2157,130
Prag,CZE,2003,8.9,1,13.8,3.9,37,-15.9,306,58,63,8.8,1018.7,2104,127
Brünn,CZE,2003,9.7,1.1,14.4,5.2,37,-14.6,483,99,71,9.4,1018.8,2196,129
Sliac,SVK,2003,8.5,0.5,15.3,2.4,35.2,-26.9,505,74,75,8.5,1018.8,2284,137
Poprad,SVK,2003,6.5,0.6,12.5,0.8,32.6,-24.8,421,73,72,7.6,,2256,125
Elbing,POL,2003,8.2,0.6,12.2,4.2,,,670,97,105,9.5,1017,1625,106
Warschau,POL,2003,8.2,0.5,12.7,4,,,530,102,87,9.4,1017.8,2377,103
Breslau,POL,2003,9.1,0.8,14.2,3.7,,,417,71,78,9.3,1018.4,2040,137
Budapest,HUN,2003,11.3,0.9,16.6,6.5,,,379,73,55,9.3,1018.4,2394,122
Debrecen,HUN,2003,10.1,0.2,15.4,5.1,,,521,92,69,9.5,1018.2,2284,115
Pecs,HUN,2003,11.3,0.9,16.5,6.7,,,499,80,68,9.3,1018.7,2252,107
Belgrad,SRB,2003,12.8,0.9,,,,,552,81,84,,,,
Ljubljana,SVN,2003,11.6,1.8,16.9,6.6,37.3,-16.2,1090,78,91,10.2,1018.7,2251,132
Zagreb,HRV,2003,12.8,1.5,17.4,8.9,36.7,-11.3,658,75,77,10.6,1018,2277,126
Split,HRV,2003,17.2,1.4,21,14.2,38.1,-2,525,64,56,11.4,1015.9,2873,111
Mostar,BIH,2003,16.2,1.7,21.6,11.4,40.5,-3.5,1160,81,79,11.7,1016.5,2606,113
Sarajevo,BIH,2003,10.2,0.8,16.1,5.3,36.2,-17.8,792,86,96,8.8,1018.7,1972,110
Cluj,ROU,2003,8.7,0.5,14.6,3.9,34.9,-15.1,405,74,76,8.4,1018.6,2235,111
